cohort,cust_id,org_id
2,11533,11302
2,11532,11301
2,11524,11293
2,11479,11252
2,11467,11240
2,11451,11224
2,11450,11223
2,11448,11221
2,11440,11213
2,11437,11210
2,11431,11204
2,11423,11197
2,11419,11196
2,11398,11175
2,11390,11169
2,11386,11165
2,11378,11157
2,11371,11150
2,11360,11139
2,11355,11134
2,11346,11125
2,11344,11123
2,11307,11086
2,11292,11072
2,11291,11071
2,11282,11062
2,11275,11055
2,11263,11043
2,11250,11030
2,11228,11009
2,11221,11002
2,11206,10987
2,11203,10984
2,11183,10964
2,11117,10898
2,11096,10877
2,11091,10872
2,11083,10864
2,11079,10860
2,11075,10856
2,11056,10837
2,11043,10825
2,11038,10820
2,11037,10819
2,11035,10817
